dep,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15
01,0.001702127659574468,0.001702127659574468,0.001702127659574468,0.003404255319148936,0.006808510638297872,0.01446808510638298,0.01872340425531915,0.02468085106382979,0.028085106382978724,0.04170212765957447,0.0451063829787234,0.04680851063829787,0.05702127659574468,0.06127659574468085,0.07829787234042553,0.08936170212765958,0.0851063829787234,0.09276595744680852,0.09531914893617022,0.09787234042553192,0.10127659574468086,0.10553191489361702,0.10638297872340426,0.10893617021276596,0.10042553191489362,0.10042553191489362,0.10212765957446808,0.11404255319148936,0.11829787234042553
02,0.02138758476786646,0.022430881585811163,0.027125717266562335,0.03182055294731351,0.03599374021909233,0.04747000521648409,0.05581637976004173,0.059989567031820554,0.06468440271257173,0.06885758998435054,0.06990088680229525,0.07094418362023996,0.07042253521126761,0.07511737089201878,0.08555033907146584,0.09702660406885759,0.10954616588419405,0.11632759520083463,0.11528429838288994,0.11632759520083463,0.13302034428794993,0.1356285863328117,0.14084507042253522,0.14606155451225875,0.14553990610328638,0.1476264997391758,0.14919144496609285,0.14553990610328638,0.14606155451225875
03,0.0025380710659898475,0.0,0.0006345177664974619,0.0031725888324873096,0.0031725888324873096,0.005710659898477157,0.005710659898477157,0.007614213197969543,0.00951776649746193,0.011421319796954314,0.013959390862944163,0.014593908629441625,0.01903553299492386,0.02284263959390863,0.024111675126903553,0.02284263959390863,0.025380710659898477,0.027918781725888325,0.028553299492385786,0.031725888324873094,0.03299492385786802,0.03362944162436548,0.03616751269035533,0.03553299492385787,0.03807106598984772,0.03680203045685279,0.03680203045685279,0.03934010152284264,0.037436548223350255
04,0.005870841487279843,0.005870841487279843,0.005870841487279843,0.007827788649706457,0.007827788649706457,0.007827788649706457,0.007827788649706457,0.015655577299412915,0.01761252446183953,0.021526418786692758,0.023483365949119372,0.023483365949119372,0.03718199608610567,0.03913894324853229,0.043052837573385516,0.04892367906066536,0.05675146771037182,0.05675146771037182,0.060665362035225046,0.0684931506849315,0.05675146771037182,0.05870841487279843,0.060665362035225046,0.0684931506849315,0.0684931506849315,0.06653620352250489,0.06457925636007827,0.06653620352250489,0.07240704500978473
05,0.01415929203539823,0.017699115044247787,0.023008849557522124,0.023008849557522124,0.024778761061946902,0.033628318584070796,0.033628318584070796,0.04070796460176991,0.05132743362831858,0.05663716814159292,0.05663716814159292,0.06902654867256637,0.06725663716814159,0.0743362831858407,0.0920353982300885,0.10442477876106195,0.11327433628318584,0.10619469026548672,0.10442477876106195,0.11150442477876106,0.11327433628318584,0.1079646017699115,0.09557522123893805,0.0920353982300885,0.08849557522123894,0.08672566371681416,0.08672566371681416,0.08141592920353982,0.07787610619469026
06,0.005225752508361204,0.006897993311036789,0.00898829431438127,0.009615384615384616,0.009406354515050168,0.013795986622073578,0.011496655518394648,0.015677257525083612,0.017767558528428092,0.020693979933110368,0.021948160535117056,0.023411371237458192,0.024874581939799332,0.027591973244147156,0.031145484949832776,0.03804347826086957,0.042433110367892976,0.04535953177257525,0.045777591973244144,0.048704013377926424,0.052675585284280936,0.053929765886287624,0.05518394648829431,0.05811036789297659,0.055811036789297656,0.056438127090301,0.05811036789297659,0.058946488294314384,0.05811036789297659
07,0.011320754716981131,0.010377358490566037,0.014150943396226415,0.014150943396226415,0.020754716981132074,0.027358490566037737,0.03490566037735849,0.045283018867924525,0.04905660377358491,0.0509433962264151,0.05849056603773585,0.062264150943396226,0.06792452830188679,0.0820754716981132,0.08018867924528301,0.07830188679245283,0.08962264150943396,0.0820754716981132,0.08773584905660377,0.09622641509433963,0.1,0.1009433962264151,0.1009433962264151,0.09905660377358491,0.09622641509433963,0.09622641509433963,0.1,0.1,0.09528301886792453
08,0.0,0.0,0.0010626992561105207,0.003188097768331562,0.004250797024442083,0.006376195536663124,0.005313496280552604,0.005313496280552604,0.01381509032943677,0.01487778958554729,0.026567481402763018,0.031880977683315624,0.031880977683315624,0.05100956429330499,0.057385759829968117,0.07013815090329437,0.07120085015940489,0.07226354941551541,0.077577045696068,0.077577045696068,0.08501594048884166,0.07970244420828905,0.08289054197662062,0.07863974495217853,0.07332624867162593,0.08395324123273114,0.08395324123273114,0.08289054197662062,0.07438894792773645
09,0.0022727272727272726,0.0022727272727272726,0.004545454545454545,0.004545454545454545,0.004545454545454545,0.006818181818181818,0.006818181818181818,0.015909090909090907,0.015909090909090907,0.01818181818181818,0.01818181818181818,0.020454545454545454,0.025,0.02727272727272727,0.03636363636363636,0.038636363636363635,0.03636363636363636,0.03409090909090909,0.04090909090909091,0.04090909090909091,0.04318181818181818,0.045454545454545456,0.04090909090909091,0.03409090909090909,0.03409090909090909,0.03636363636363636,0.03636363636363636,0.03636363636363636,0.04090909090909091
10,0.004409171075837742,0.005291005291005291,0.010582010582010581,0.010582010582010581,0.018518518518518517,0.0291005291005291,0.031746031746031744,0.03880070546737213,0.05114638447971781,0.053791887125220456,0.0564373897707231,0.05731922398589065,0.06172839506172839,0.06966490299823633,0.07583774250440917,0.09171075837742504,0.09700176366843033,0.12433862433862433,0.13051146384479717,0.13315696649029982,0.1384479717813051,0.1349206349206349,0.1781305114638448,0.18783068783068782,0.1931216931216931,0.21075837742504408,0.2292768959435626,0.24162257495590828,0.2345679012345679
