dep,01-04-2020,01-05-2020,01-06-2020,01-07-2020,02-04-2020,02-05-2020,02-06-2020,02-07-2020,03-04-2020,03-05-2020,03-06-2020,03-07-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,05-04-2020,05-05-2020,05-06-2020,05-07-2020,06-04-2020,06-05-2020,06-06-2020,06-07-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,13-04-2020,13-05-2020,13-06-2020,13-07-2020,14-04-2020,14-05-2020,14-06-2020,14-07-2020,15-04-2020,15-05-2020,15-06-2020,15-07-2020,16-04-2020,16-05-2020,16-06-2020,16-07-2020,17-04-2020,17-05-2020,17-06-2020,17-07-2020,18-03-2020,18-04-2020,18-05-2020,18-06-2020,18-07-2020,19-03-2020,19-04-2020,19-05-2020,19-06-2020,19-07-2020,20-03-2020,20-04-2020,20-05-2020,20-06-2020,20-07-2020,21-03-2020,21-04-2020,21-05-2020,21-06-2020,21-07-2020,22-03-2020,22-04-2020,22-05-2020,22-06-2020,23-03-2020,23-04-2020,23-05-2020,23-06-2020,24-03-2020,24-04-2020,24-05-2020,24-06-2020,25-03-2020,25-04-2020,25-05-2020,25-06-2020,26-03-2020,26-04-2020,26-05-2020,26-06-2020,27-03-2020,27-04-2020,27-05-2020,27-06-2020,28-03-2020,28-04-2020,28-05-2020,28-06-2020,29-03-2020,29-04-2020,29-05-2020,29-06-2020,30-03-2020,30-04-2020,30-05-2020,30-06-2020,31-03-2020,31-05-2020
01,0.3802836781314116,0.5321216252986971,0.3775209021834677,0.24201075664301416,0.414686449732261,0.5340587525021121,0.3747404381794544,0.24201075664301416,0.40177509155725344,0.5340587525021121,0.35183164104589737,0.24201075664301416,0.4247460957455366,0.5301758190060087,0.3576731228588478,0.2305000542228565,0.4321408074317577,0.5122597545431943,0.3488811693786936,0.22659434392901684,0.4394117147800861,0.4998914647242488,0.3276467941023584,0.22659434392901684,0.44892069188936784,0.4850020124902431,0.3276467941023584,0.22659434392901684,0.4605214062342765,0.4828326561115006,0.32452674819704075,0.2065208752119356,0.4628048224159106,0.4784611615506571,0.3182185955355498,0.2023923929821176,0.4695839088149658,0.4828326561115006,0.32138412505124697,0.2065208752119356,0.4465628951537543,0.4806524090978382,0.3053205728771956,0.2065208752119356,0.4465628951537543,0.4850020124902431,0.2953892854361053,0.2065208752119356,0.4512657571697116,0.4935726729488126,0.2953892854361053,0.2065208752119356,0.4828326561115006,0.4893084847762961,0.2953892854361053,0.2065208752119356,0.4935726729488126,0.4850020124902431,0.2953892854361053,0.2065208752119356,0.5223042245016117,0.4828326561115006,0.29872501222379944,0.2023923929821176,0.5203138294564481,0.4806524090978382,0.2920277391735233,0.19822428768500555,0.013024177949731123,0.560308609216152,0.4784611615506571,0.2920277391735233,0.19822428768500555,0.013024177949731123,0.5584853374927966,0.4605214062342765,0.2920277391735233,0.19822428768500555,0.013024177949731123,0.5548156685225402,0.44892069188936784,0.2852255674421296,0.2023923929821176,0.025669115750651682,0.552969140267718,0.4394117147800861,0.2852255674421296,0.2065208752119356,0.04990534740367749,0.54925236238673,0.4345779936775305,0.2852255674421296,0.09994625506451464,0.5436168646044911,0.4321408074317577,0.2817841075288641,0.12544168624121926,0.5473819766420778,0.42968986689117183,0.2748182780880938,0.15879371915590426,0.5398188252917929,0.42968986689117183,0.2641554558597545,0.1767617292143328,0.5455035008110521,0.414686449732261,0.2641554558597545,0.24201075664301416,0.5398188252917929,0.4121347034679632,0.249518486804994,0.2568986318913707,0.5301758190060087,0.3965011184486906,0.249518486804994,0.2641554558597545,0.5379072769422726,0.3965011184486906,0.24201075664301416,0.3053205728771956,0.5359872776971213,0.3775209021834677,0.24201075664301416,0.32138412505124697,0.3775209021834677
02,0.6146414525014564,0.7982823925256769,0.5920066468938651,0.4596864998192801,0.6566525151920161,0.8022055261895984,0.5898892175664102,0.4625417382808634,0.6982759658632568,0.7982823925256769,0.5813147284996968,0.4625417382808634,0.7192600672995367,0.7969667662430496,0.5791443909981974,0.4568123654956474,0.7160970047065384,0.7876440692241959,0.5703529269696953,0.4568123654956474,0.7192600672995367,0.7862957671775678,0.5725675335477284,0.4510063971110481,0.7669663655379872,0.761281894639779,0.5725675335477284,0.4238739480313556,0.7739688951792648,0.7526131984896418,0.5613798130207729,0.3603382880692441,0.7876440692241959,0.7496847507059182,0.5498962513613864,0.3530759729159991,0.8009017486777891,0.7482130884247659,0.5404856400610972,0.34569014834904216,0.7995940453609511,0.7482130884247659,0.5357027445306184,0.3381765405566673,0.8048013975896625,0.7160970047065384,0.5284281630923533,0.3381765405566673,0.8086663418787833,0.6949557189473572,0.5259759701235626,0.3381765405566673,0.7995940453609511,0.6638727223354675,0.5259759701235626,0.3381765405566673,0.8009017486777891,0.6548285504694547,0.5185352042047807,0.34194959310450607,0.7969667662430496,0.6656591730225234,0.5185352042047807,0.33437042109118986,0.7969667662430496,0.6656591730225234,0.5185352042047807,0.3381765405566673,0.25027202267285364,0.7889881983109427,0.6656591730225234,0.5058434245936012,0.3381765405566673,0.25945358089149084,0.7943234965267728,0.6620788928013976,0.5032599454431089,0.3381765405566673,0.2985254188723865,0.8311604032380641,0.6548285504694547,0.4980464200698194,0.322747735153802,0.33437042109118986,0.8200589898382714,0.6493102388068179,0.5109647301509971,0.322747735153802,0.363924407135774,0.7995940453609511,0.6474551090903811,0.5006610059860763,0.4361425363800045,0.8022055261895984,0.6418416945387051,0.4980464200698194,0.4820194675812608,0.8162945495580416,0.6437209059773251,0.4874277686227752,0.5032599454431089,0.809947050793813,0.6186330661054847,0.4765429663760247,0.5259759701235626,0.8200589898382714,0.6361547734209905,0.4653783277183831,0.5452164347158851,0.8112239940753969,0.6106128112720269,0.4653783277183831,0.5498962513613864,0.8162945495580416,0.6065464490171458,0.4625417382808634,0.5545261769510077,0.8073818450553242,0.5982976887716676,0.4625417382808634,0.5522173839644573,0.8086663418787833,0.5982976887716676,0.4568123654956474,0.5725675335477284,0.5962107839996421
03,0.3318208684337698,0.36132328803969177,0.12450759044135047,0.08324429408132901,0.3194348815762748,0.36699067866896795,0.15307016313614372,0.08324429408132901,0.3438633826945296,0.36699067866896795,0.14375647761160784,0.07228539708768969,0.36699067866896795,0.37810829956597947,0.14375647761160784,0.07228539708768969,0.3725850635159394,0.3438633826945296,0.1621882978775699,0.07228539708768969,0.3995245182187129,0.3194348815762748,0.15307016313614372,0.07228539708768969,0.4098491870076557,0.3194348815762748,0.15307016313614372,0.07228539708768969,0.4149209119868845,0.30668525262425833,0.17986960083194686,0.07228539708768969,0.4346355001735172,0.3131068519456438,0.15307016313614372,0.07228539708768969,0.4297901167218076,0.3194348815762748,0.13423866942848786,0.08324429408132901,0.4488554992363557,0.3131068519456438,0.13423866942848786,0.08324429408132901,0.4394274200687646,0.244170430813298,0.14375647761160784,0.08324429408132901,0.4394274200687646,0.221158710149628,0.14375647761160784,0.08324429408132901,0.4580832459692069,0.2132089630533225,0.14375647761160784,0.08324429408132901,0.4441670433679528,0.20511097838105927,0.14375647761160784,0.08324429408132901,0.4488554992363557,0.18844743479596185,0.15307016313614372,0.08324429408132901,0.4534938806588303,0.18844743479596185,0.1621882978775699,0.08324429408132901,0.04950139512659543,0.4346355001735172,0.18844743479596185,0.1621882978775699,0.07228539708768969,0.0,0.4346355001735172,0.17986960083194686,0.11455346339310048,0.07228539708768969,0.012914276295887888,0.4580832459692069,0.17986960083194686,0.11455346339310048,0.07228539708768969,0.061042791058990964,0.4297901167218076,0.17986960083194686,0.11455346339310048,0.07228539708768969,0.061042791058990964,0.424890063252296,0.1711189248490242,0.11455346339310048,0.1043658228741699,0.4199340919995616,0.18844743479596185,0.11455346339310048,0.1043658228741699,0.4098491870076557,0.221158710149628,0.11455346339310048,0.13423866942848786,0.4149209119868845,0.1968591225974386,0.11455346339310048,0.1621882978775699,0.424890063252296,0.20511097838105927,0.0939334491888921,0.18844743479596185,0.4199340919995616,0.1711189248490242,0.0939334491888921,0.221158710149628,0.4047175334875228,0.1621882978775699,0.08324429408132901,0.2289655493761083,0.3725850635159394,0.14375647761160784,0.08324429408132901,0.2800050096222645,0.36699067866896795,0.12450759044135047,0.08324429408132901,0.3194348815762748,0.11455346339310048
04,0.3676807398744621,0.4002520506540696,0.2521097833576837,0.09416885084974866,0.4002520506540696,0.4002520506540696,0.2521097833576837,0.09416885084974866,0.4401972349465166,0.4002520506540696,0.2521097833576837,0.09416885084974866,0.4401972349465166,0.3788114829241394,0.2521097833576837,0.09416885084974866,0.4588715339973043,0.3788114829241394,0.2521097833576837,0.09416885084974866,0.4939711692466317,0.3676807398744621,0.2521097833576837,0.07247098246248035,0.4401972349465166,0.33246713285426904,0.2521097833576837,0.07247098246248035,0.4496347491430116,0.3072979668479717,0.23714279663168836,0.07247098246248035,0.4588715339973043,0.3072979668479717,0.23714279663168836,0.07247098246248035,0.4939711692466317,0.3072979668479717,0.23714279663168836,0.07247098246248035,0.4939711692466317,0.320064856531922,0.17151299605076625,0.07247098246248035,0.4854586067206959,0.320064856531922,0.09416885084974866,0.07247098246248035,0.4767758487702777,0.320064856531922,0.09416885084974866,0.07247098246248035,0.4854586067206959,0.3072979668479717,0.09416885084974866,0.07247098246248035,0.510511514157749,0.3072979668479717,0.09416885084974866,0.04963179107204421,0.4854586067206959,0.34452504504967874,0.09416885084974866,0.04963179107204421,0.4854586067206959,0.33246713285426904,0.07247098246248035,0.04963179107204421,0.07247098246248035,0.4854586067206959,0.3072979668479717,0.07247098246248035,0.04963179107204421,0.07247098246248035,0.5185513012121156,0.3072979668479717,0.07247098246248035,0.04963179107204421,0.07247098246248035,0.5710120527581798,0.2941443742878056,0.07247098246248035,0.04963179107204421,0.09416885084974866,0.5418144560634399,0.2941443742878056,0.07247098246248035,0.04963179107204421,0.09416885084974866,0.4588715339973043,0.2941443742878056,0.07247098246248035,0.09416885084974866,0.4401972349465166,0.2941443742878056,0.09416885084974866,0.09416885084974866,0.4496347491430116,0.2941443742878056,0.09416885084974866,0.17151299605076625,0.4401972349465166,0.2805799190752913,0.07247098246248035,0.18887340846737544,0.4401972349465166,0.2805799190752913,0.07247098246248035,0.2216415390137369,0.42068373671280185,0.2665781041030851,0.07247098246248035,0.23714279663168836,0.42068373671280185,0.2665781041030851,0.07247098246248035,0.23714279663168836,0.410588035465217,0.2665781041030851,0.07247098246248035,0.33246713285426904,0.42068373671280185,0.2665781041030851,0.07247098246248035,0.34452504504967874,0.2665781041030851
05,0.6691564376352281,0.5489511244743919,0.4630984863016102,0.17429427468218384,0.7128248420871433,0.5659260019801564,0.4187165365866802,0.17429427468218384,0.7415297731394082,0.5659260019801564,0.4187165365866802,0.17429427468218384,0.7187196179624004,0.5575214931683072,0.4068742929459106,0.17429427468218384,0.7128248420871433,0.5659260019801564,0.4068742929459106,0.17429427468218384,0.7359385645690154,0.5659260019801564,0.3821746979369173,0.17429427468218384,0.7415297731394082,0.5402082175146681,0.3821746979369173,0.17429427468218384,0.7245354530155059,0.5402082175146681,0.3821746979369173,0.17429427468218384,0.6820875187593932,0.5402082175146681,0.3947000640407095,0.17429427468218384,0.6691564376352281,0.5402082175146681,0.3821746979369173,0.17429427468218384,0.6558284877214761,0.5312856822435483,0.3281144641882163,0.17429427468218384,0.6490079252417293,0.5221759824089415,0.2318358113770414,0.17429427468218384,0.6490079252417293,0.5128710973062807,0.21348953652995384,0.17429427468218384,0.6278789792291003,0.4836969315469367,0.21348953652995384,0.17429427468218384,0.6131994211113052,0.4836969315469367,0.21348953652995384,0.17429427468218384,0.5980062697146337,0.4836969315469367,0.21348953652995384,0.15328500901196487,0.5980062697146337,0.4836969315469367,0.21348953652995384,0.13120751179438547,0.1943339292553984,0.5659260019801564,0.4836969315469367,0.21348953652995384,0.13120751179438547,0.2318358113770414,0.5659260019801564,0.4735198196693885,0.21348953652995384,0.13120751179438547,0.28263769147997075,0.5659260019801564,0.4735198196693885,0.21348953652995384,0.13120751179438547,0.28263769147997075,0.5902056145280136,0.4735198196693885,0.21348953652995384,0.1079473063776297,0.2983317231157133,0.5902056145280136,0.4630984863016102,0.21348953652995384,0.369277336064404,0.5902056145280136,0.4630984863016102,0.1943339292553984,0.369277336064404,0.5659260019801564,0.4630984863016102,0.1943339292553984,0.4187165365866802,0.5902056145280136,0.4630984863016102,0.1943339292553984,0.4836969315469367,0.5902056145280136,0.452420921416636,0.1943339292553984,0.5128710973062807,0.5489511244743919,0.452420921416636,0.1943339292553984,0.5128710973062807,0.5489511244743919,0.4630984863016102,0.1943339292553984,0.5741709488968747,0.5221759824089415,0.4630984863016102,0.1943339292553984,0.5659260019801564,0.5402082175146681,0.4630984863016102,0.17429427468218384,0.5980062697146337,0.4630984863016102
06,0.3766502393488916,0.4812867226088353,0.30315803072178604,0.1219717581097588,0.4291267310864184,0.4481752433051252,0.2971103751403239,0.1219717581097588,0.4594952312064308,0.455284736974595,0.28891356106773386,0.1158522302598959,0.478621837184818,0.4580962638793324,0.2826628009564862,0.1158522302598959,0.4812867226088353,0.4594952312064308,0.2826628009564862,0.1158522302598959,0.4994966429572617,0.4452985350508066,0.28055906053497764,0.1158522302598959,0.5230488253569427,0.4664232596326379,0.2784450798836937,0.11275982386692852,0.5302286046904597,0.4650464672272877,0.2826628009564862,0.11275982386692852,0.537291615342295,0.4705276408850117,0.2763207588235034,0.11275982386692852,0.5533385380599546,0.4677957011454305,0.2677180145877361,0.10964523989451712,0.5407805073952009,0.4580962638793324,0.26335188396553794,0.10650815794493332,0.5442415947554083,0.446739271039697,0.26335188396553794,0.10650815794493332,0.5533385380599546,0.4335972798740384,0.26115224716367264,0.10650815794493332,0.5578165375176852,0.4291267310864184,0.26115224716367264,0.10964523989451712,0.5533385380599546,0.399691680967156,0.2567192662590161,0.11892277267524755,0.5533385380599546,0.4012916500693148,0.25448569120961645,0.11892277267524755,0.5361223949785516,0.3980857956724667,0.24543471473985295,0.11892277267524755,0.09047356336380713,0.5510821037576917,0.3681156311665188,0.24543471473985295,0.11892277267524755,0.1158522302598959,0.5544623740339378,0.36116509188924106,0.2431421872515448,0.11892277267524755,0.14562239041355673,0.5510821037576917,0.3558781999461874,0.2097073248406311,0.11892277267524755,0.1541695494106879,0.5430909610223632,0.3523175077528481,0.2097073248406311,0.13395804893648586,0.15133914566155685,0.5510821037576917,0.3505261539573344,0.20721766268096126,0.20721766268096126,0.5442415947554083,0.3505261539573344,0.2021951077274252,0.17884584149351415,0.5430909610223632,0.3487273806709557,0.19966187903780253,0.2291269208250644,0.5314137788676722,0.3432859228242067,0.19966187903780253,0.25224056948118945,0.5302286046904597,0.3321940995141908,0.1541695494106879,0.2826628009564862,0.532595727547028,0.32272948071310403,0.1541695494106879,0.29507562959014866,0.5290401873626573,0.3110927590709012,0.1541695494106879,0.3091226265417259,0.5266535519161788,0.3051553451363244,0.1541695494106879,0.32272948071310403,0.5058194745843765,0.30315803072178604,0.13690363578536136,0.3469211261773989,0.3051553451363244
07,0.5563486311493906,0.7377124664907146,0.3588662164168823,0.013087076319464442,0.5489047298856299,0.7352751708231678,0.364642454275778,0.013087076319464442,0.5917666777651733,0.7303591567401665,0.31612676775804616,0.013087076319464442,0.5636670894373673,0.7228791960492371,0.28279924415314384,0.013087076319464442,0.5849103817294677,0.7613614241558235,0.28279924415314384,0.013087076319464442,0.6149455856294762,0.7228791960492371,0.2758154638023625,0.02579129425540196,0.6276556133647341,0.7203569705532877,0.2758154638023625,0.02579129425540196,0.6307758386006811,0.7101189838046648,0.2615016827164722,0.013087076319464442,0.6307758386006811,0.7075213268226019,0.23910559819282104,0.013087076319464442,0.6245128082834933,0.7075213268226019,0.23910559819282104,0.013087076319464442,0.6149455856294762,0.6969724792419615,0.22350636415503905,0.013087076319464442,0.6149455856294762,0.6888892156034573,0.20732588575746808,0.013087076319464442,0.6276556133647341,0.6694217781061624,0.20732588575746808,0.038134419378573835,0.6276556133647341,0.6694217781061624,0.20732588575746808,0.038134419378573835,0.6117090957042537,0.6460493064866977,0.1905191653438818,0.038134419378573835,0.6149455856294762,0.5985164121808373,0.1905191653438818,0.038134419378573835,0.6213470941703628,0.5985164121808373,0.14541568809058622,0.038134419378573835,0.1358043529338064,0.6400042226229611,0.6084483052987245,0.1259754868784072,0.038134419378573835,0.1259754868784072,0.6430372824020049,0.5985164121808373,0.1159190148142583,0.038134419378573835,0.1640228490876062,0.6181581345871459,0.5672805849121205,0.038134419378573835,0.02579129425540196,0.1640228490876062,0.6213470941703628,0.5217978931354382,0.02579129425540196,0.02579129425540196,0.22350636415503905,0.6149455856294762,0.5297168723228005,0.02579129425540196,0.2758154638023625,0.5985164121808373,0.5257754319345687,0.013087076319464442,0.3287731785169052,0.6051628467408259,0.5336228636383701,0.013087076319464442,0.3924245533991461,0.5917666777651733,0.5297168723228005,0.013087076319464442,0.4134376063431503,0.6117090957042537,0.5217978931354382,0.013087076319464442,0.4235747722060107,0.6149455856294762,0.4971358745677875,0.013087076319464442,0.4619109439710496,0.6969724792419615,0.4235747722060107,0.013087076319464442,0.47988044114102,0.7303591567401665,0.3588662164168823,0.013087076319464442,0.5055131225055898,0.7352751708231678,0.34106172903399345,0.013087076319464442,0.5636670894373673,0.3470780258611741
08,0.4819670273951251,0.4365407423714624,0.3790215084291078,0.11437178600935677,0.5422757386752118,0.4483504755663909,0.3790215084291078,0.11437178600935677,0.5469429519291462,0.4424857503669321,0.3790215084291078,0.11437178600935677,0.5515605410700712,0.4305132230399267,0.35078914229850544,0.11437178600935677,0.5739395570988387,0.4305132230399267,0.2709555977255142,0.11437178600935677,0.5739395570988387,0.4819670273951251,0.3283411850462752,0.12676224334126066,0.6034508583289714,0.4819670273951251,0.3205930676154492,0.12676224334126066,0.5825779541331557,0.4819670273951251,0.3205930676154492,0.12676224334126066,0.5952216831375073,0.4765418767212333,0.3205930676154492,0.12676224334126066,0.5782802331722204,0.4765418767212333,0.2964831082231661,0.12676224334126066,0.5561295502617405,0.4765418767212333,0.2149038413907036,0.12676224334126066,0.5993557616299966,0.4541370574259783,0.22476269654758185,0.12676224334126066,0.5993557616299966,0.4541370574259783,0.2149038413907036,0.12676224334126066,0.5952216831375073,0.4654839313406434,0.20481597295321927,0.060940050463734574,0.5606509910546317,0.4654839313406434,0.20481597295321927,0.060940050463734574,0.5469429519291462,0.4654839313406434,0.1944881981062513,0.060940050463734574,0.5515605410700712,0.4598475510036198,0.1839088275416464,0.060940050463734574,0.0,0.5515605410700712,0.4598475510036198,0.1839088275416464,0.060940050463734574,0.0,0.5469429519291462,0.5825779541331557,0.17306529623990705,0.060940050463734574,0.016055237379357053,0.5422757386752118,0.5782802331722204,0.17306529623990705,0.060940050463734574,0.04648781229075398,0.5375578231140197,0.5651258437301491,0.17306529623990705,0.060940050463734574,0.060940050463734574,0.5081205196977214,0.569555058576277,0.16194407375242392,0.0884771212730706,0.5131673962113369,0.569555058576277,0.15053056269138534,0.0749268028009309,0.4819670273951251,0.5606509910546317,0.15053056269138534,0.0749268028009309,0.4819670273951251,0.5606509910546317,0.15053056269138534,0.17306529623990705,0.4765418767212333,0.5279653930870986,0.15053056269138534,0.1839088275416464,0.4710480975626914,0.5327880915257797,0.12676224334126066,0.2881395544353665,0.4765418767212333,0.5181562967521653,0.12676224334126066,0.3283411850462752,0.4365407423714624,0.5230885382043112,0.12676224334126066,0.3283411850462752,0.4365407423714624,0.3721336062424612,0.12676224334126066,0.4483504755663909,0.3721336062424612
09,0.3117289772584246,0.16415160980300847,0.05355295567688809,0.027601408854477708,0.3254130714266593,0.16415160980300847,0.05355295567688809,0.027601408854477708,0.3117289772584246,0.16415160980300847,0.05355295567688809,0.027601408854477708,0.29759964693813434,0.16415160980300847,0.05355295567688809,0.027601408854477708,0.33867913445715275,0.16415160980300847,0.05355295567688809,0.027601408854477708,0.33867913445715275,0.16415160980300847,0.05355295567688809,0.027601408854477708,0.3515519516673393,0.05355295567688809,0.05355295567688809,0.027601408854477708,0.3640541673880864,0.0780408044018576,0.05355295567688809,0.027601408854477708,0.33867913445715275,0.0780408044018576,0.05355295567688809,0.027601408854477708,0.29759964693813434,0.0780408044018576,0.05355295567688809,0.027601408854477708,0.29759964693813434,0.0780408044018576,0.027601408854477708,0.027601408854477708,0.3117289772584246,0.0780408044018576,0.027601408854477708,0.027601408854477708,0.3117289772584246,0.0780408044018576,0.027601408854477708,0.027601408854477708,0.3117289772584246,0.0780408044018576,0.027601408854477708,0.027601408854477708,0.33867913445715275,0.0780408044018576,0.027601408854477708,0.027601408854477708,0.33867913445715275,0.0780408044018576,0.027601408854477708,0.027601408854477708,0.2829951301616377,0.0780408044018576,0.027601408854477708,0.027601408854477708,0.027601408854477708,0.2829951301616377,0.0780408044018576,0.027601408854477708,0.027601408854477708,0.027601408854477708,0.2678823490653838,0.0780408044018576,0.027601408854477708,0.027601408854477708,0.05355295567688809,0.2678823490653838,0.12322694913557485,0.027601408854477708,0.027601408854477708,0.05355295567688809,0.2522246470129239,0.14417115542474282,0.027601408854477708,0.027601408854477708,0.05355295567688809,0.2522246470129239,0.0780408044018576,0.027601408854477708,0.0780408044018576,0.2678823490653838,0.0780408044018576,0.027601408854477708,0.0780408044018576,0.2359812529561176,0.0780408044018576,0.027601408854477708,0.16415160980300847,0.2359812529561176,0.0780408044018576,0.027601408854477708,0.16415160980300847,0.2359812529561176,0.0780408044018576,0.027601408854477708,0.1832531186646502,0.2191066416757372,0.05355295567688809,0.027601408854477708,0.1832531186646502,0.2191066416757372,0.05355295567688809,0.027601408854477708,0.20154976462812746,0.2191066416757372,0.05355295567688809,0.027601408854477708,0.2359812529561176,0.2191066416757372,0.05355295567688809,0.027601408854477708,0.2522246470129239,0.05355295567688809
10,0.5769199535881329,0.9101531270087988,0.4482414396120391,0.24905786209362876,0.6390724634575983,0.918686021389682,0.4381400202464402,0.25688451116910643,0.6579590808129345,0.9084262438512128,0.4172037666328444,0.25688451116910643,0.7442735781285091,0.9101531270087988,0.4008114323955845,0.25688451116910643,0.7615990805479254,0.8979182126450898,0.3282513492467521,0.25688451116910643,0.7688178095047438,0.7314608992700288,0.3216198287364886,0.24905786209362876,0.7829049790733507,0.679003038468727,0.3216198287364886,0.24905786209362876,0.7735644857585386,0.6760584721631224,0.3216198287364886,0.24108757227822186,0.8761072002367435,0.679003038468727,0.3282513492467521,0.24108757227822186,0.8961418870533396,0.6730938049972076,0.2940322319108609,0.24108757227822186,0.9066924666742656,0.6760584721631224,0.3148854750387799,0.24108757227822186,0.9401174189266588,0.6701087606495942,0.3148854750387799,0.24108757227822186,0.9726477233072058,0.661028514278907,0.2940322319108609,0.24108757227822186,0.9930552107804412,0.6730938049972076,0.2868525435789065,0.24108757227822186,0.9815114640416116,0.6517543562266388,0.2868525435789065,0.24108757227822186,0.9771022063656568,0.6517543562266388,0.2868525435789065,0.22469427884804533,0.9741376333038168,0.6454596989089322,0.2645726053753911,0.22469427884804533,0.06495890758952977,0.9815114640416116,0.6640764062776017,0.2645726053753911,0.24905786209362876,0.07686116389842422,0.984426294015682,0.6517543562266388,0.2645726053753911,0.24108757227822186,0.14214313067161266,0.9666364376063564,0.6159470283505163,0.2795521637159039,0.24108757227822186,0.14214313067161266,0.9543583406070468,0.6056463143540145,0.2795521637159039,0.24108757227822186,0.22469427884804533,0.962072732256562,0.6091071029230771,0.2795521637159039,0.3148854750387799,0.975622449419138,0.6125405311821461,0.2645726053753911,0.3347831299072106,0.9287090050943876,0.6125405311821461,0.25688451116910643,0.3837760215942715,0.925393646259183,0.6125405311821461,0.25688451116910643,0.4581132369976577,0.9237264273708996,0.5915206034325454,0.24905786209362876,0.4725125376765206,0.9169928019785004,0.490997772781086,0.24905786209362876,0.4864497021211491,0.9303572416476552,0.4864497021211491,0.25688451116910643,0.490997772781086,0.918686021389682,0.4677656201688707,0.25688451116910643,0.5130499965069907,0.925393646259183,0.4482414396120391,0.24905786209362876,0.5501245800390638,0.44322009835821424
