dep,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15
01,0.00030443485474651995,0.00030443485474651995,0.00030443485474651995,0.0006088697094930399,0.0012177394189860798,0.0025876962653454197,0.003348783402211719,0.004414305393824539,0.005023175103317579,0.007458653941289739,0.008067523650782778,0.008371958505529298,0.010198567634008417,0.010959654770874717,0.014004003318339916,0.015982829874192295,0.015221742737325997,0.016591699583685334,0.017048351865805115,0.017505004147924896,0.018113873857417938,0.018874960994284234,0.019027178421657496,0.019483830703777277,0.017961656430044676,0.017961656430044676,0.018266091284791196,0.020397135268016835,0.021158222404883135
02,0.007793935937648513,0.008174127934606977,0.009884991920920065,0.011595855907233152,0.01311662389506701,0.017298735861610112,0.020340271837277824,0.021861039825111683,0.02357190381142477,0.02509267179925862,0.02547286379621709,0.025853055793175553,0.025662959794696325,0.02737382378100941,0.03117574375059405,0.035357855717137156,0.03992015968063872,0.04239140766086874,0.04201121566391027,0.04239140766086874,0.04847447961220416,0.049424959604600326,0.05132591958939265,0.05322687957418496,0.05303678357570573,0.053797167569622655,0.05436745556506035,0.05303678357570573,0.05322687957418496
03,0.0012073102636463789,0.0,0.0003018275659115947,0.0015091378295579736,0.0015091378295579736,0.0027164480932043524,0.0027164480932043524,0.0036219307909391364,0.00452741348867392,0.005432896186408705,0.0066402064500550835,0.006942034015966679,0.00905482697734784,0.01086579237281741,0.011469447504640599,0.01086579237281741,0.012073102636463788,0.013280412900110167,0.013582240466021762,0.015091378295579737,0.015695033427402923,0.01599686099331452,0.017204171256960898,0.0169023436910493,0.01810965395469568,0.017505998822872494,0.017505998822872494,0.018713309086518873,0.017807826388784087
04,0.0018160136079953025,0.0018160136079953025,0.0018160136079953025,0.00242135147732707,0.00242135147732707,0.00242135147732707,0.00242135147732707,0.00484270295465414,0.005448040823985908,0.006658716562649443,0.00726405443198121,0.00726405443198121,0.011501419517303584,0.012106757386635351,0.013317433125298886,0.01513344673329419,0.01755479821062126,0.01755479821062126,0.018765473949284794,0.021186825426611863,0.01755479821062126,0.018160136079953027,0.018765473949284794,0.021186825426611863,0.021186825426611863,0.020581487557280096,0.01997614968794833,0.020581487557280096,0.022397501165275398
05,0.005643500098761252,0.007054375123451564,0.009170687660487033,0.009170687660487033,0.00987612517283219,0.013403312734557972,0.013403312734557972,0.0162250627839386,0.020457687858009537,0.022574000395045007,0.022574000395045007,0.0275120629814611,0.026806625469115945,0.02962837551849657,0.036682750641948134,0.04162081322836423,0.045148000790090015,0.042326250740709385,0.04162081322836423,0.04444256327774486,0.045148000790090015,0.04303168825305454,0.03809362566663845,0.036682750641948134,0.03527187561725782,0.03456643810491267,0.03456643810491267,0.0324501255678772,0.031039250543186882
06,0.0023161101208453616,0.0030572653595158776,0.003983709407854022,0.004261642622355465,0.004168998217521651,0.006114530719031755,0.0050954422658597955,0.006948330362536085,0.00787477441087423,0.009171796078547633,0.009727662507550519,0.010376173341387221,0.011024684175223922,0.01222906143806351,0.013804016320238355,0.016861281679754234,0.018806814181264335,0.020103835848937737,0.020289124658605367,0.02158614632627877,0.023346390018121246,0.023902256447124133,0.02445812287612702,0.025755144543800422,0.024736056090628466,0.025013989305129908,0.025755144543800422,0.02612572216313568,0.025755144543800422
07,0.0036711281070745698,0.0033652007648183554,0.0045889101338432116,0.0045889101338432116,0.006730401529636711,0.008871892925430211,0.011319311663479922,0.014684512428298279,0.015908221797323135,0.016520076481835566,0.018967495219885278,0.020191204588910133,0.022026768642447417,0.026615678776290633,0.0260038240917782,0.025391969407265777,0.02906309751434034,0.026615678776290633,0.028451242829827916,0.031204588910133845,0.0324282982791587,0.03273422562141491,0.03273422562141491,0.03212237093690249,0.031204588910133845,0.031204588910133845,0.0324282982791587,0.0324282982791587,0.030898661567877628
08,0.0,0.0,0.00037660386169599785,0.0011298115850879933,0.0015064154467839914,0.0022596231701759867,0.0018830193084799893,0.0018830193084799893,0.004895850202047972,0.0052724540637439695,0.009415096542399946,0.011298115850879935,0.011298115850879935,0.018076985361407893,0.020336608531583884,0.02485585487193586,0.025232458733631852,0.02560906259532785,0.027492081903807843,0.027492081903807843,0.030128308935679828,0.02824528962719984,0.02937510121228783,0.02786868576550384,0.02598566645702385,0.02975170507398383,0.02975170507398383,0.02937510121228783,0.02636227031871985
09,0.0006561765902439665,0.0006561765902439665,0.001312353180487933,0.001312353180487933,0.001312353180487933,0.0019685297707318994,0.0019685297707318994,0.004593236131707765,0.004593236131707765,0.005249412721951732,0.005249412721951732,0.005905589312195698,0.0072179424926836315,0.007874119082927598,0.010498825443903464,0.01115500203414743,0.010498825443903464,0.009842648853659496,0.011811178624391397,0.011811178624391397,0.012467355214635363,0.01312353180487933,0.011811178624391397,0.009842648853659496,0.009842648853659496,0.010498825443903464,0.010498825443903464,0.010498825443903464,0.011811178624391397
10,0.0016133872419790453,0.0019360646903748544,0.003872129380749709,0.003872129380749709,0.006776226416311991,0.0106483557970617,0.011616388142249126,0.014197807729415599,0.018715292006956926,0.019683324352144354,0.02065135669733178,0.02097403414572759,0.022587421387706634,0.025491518423268914,0.02775026056203958,0.03355845463316414,0.035494519323538996,0.04549752022380908,0.047756262362579745,0.04872429470776717,0.05066035939814203,0.049369649604558793,0.06518084457595344,0.06873029650830734,0.07066636119868218,0.07711991016659836,0.08389613658291036,0.08841362086045168,0.08583220127328521
